_id,name,rates.USD,rates.ILS,rates.JOD,rates.ZWL,rates.TWD,rates.SBD,rates.QAR,rates.HKD,rates.EUR,rates.AUD,_class
64723bdb3a1d024a2185e7e6,USD,1,3.5999999046325684,0.699999988079071,4560.60009765625,30.700000762939453,8.5,3.5999999046325684,7.800000190734863,0.9300000071525574,1.399999976158142,com.example.currency.Currency
647240aff6df1540f90e0b95,ILS,0.699999988079071,1,0.1899999976158142,1268.5999755859375,8.529999732971191,2.200000047683716,1.0099999904632568,2.180000066757202,0.25,0.4000000059604645,com.example.currency.Currency
64873f7792d6d355720e2707,JOD,1.399999976158142,5.099999904632568,1,6431,43,11.899999618530273,5.099999904632568,11.100000381469727,1.2999999523162842,2.0999999046325684,com.example.currency.Currency
64873fe692d6d355720e2708,ZWL,0.00019999999494757503,0.0010000000474974513,0.00019999999494757503,1,0.00800000037997961,0.0020000000949949026,0.0010000000474974513,0.0017000000225380063,0.00019999999494757503,0.0003000000142492354,com.example.currency.Currency
6487405292d6d355720e2709,TWD,0.03200000151991844,0.11699999868869781,0.019999999552965164,124,1,0.027000000700354576,0.11999999731779099,0.25999999046325684,0.029999999329447746,0.05000000074505806,com.example.currency.Currency
648740b992d6d355720e270a,SBD,0.11999999731779099,0.4000000059604645,0.07999999821186066,448,3.5999999046325684,1,0.42899999022483826,0.9200000166893005,0.10999999940395355,0.18000000715255737,com.example.currency.Currency
6487411992d6d355720e270b,QAR,0.27000001072883606,0.9800000190734863,0.1899999976158142,1252.699951171875,8.399999618530273,2.299999952316284,1,2.200000047683716,0.25999999046325684,0.4099999964237213,com.example.currency.Currency
6487417a92d6d355720e270c,HKD,0.12999999523162842,0.46000000834465027,0.09000000357627869,581.7000122070312,3.9200000762939453,1.0800000429153442,0.46000000834465027,1,0.11999999731779099,0.1899999976158142,com.example.currency.Currency
6487420392d6d355720e270d,EUR,1.0700000524520874,3.6700000762939453,0.7599999904632568,5482.7998046875,33.040000915527344,9.109999656677246,3.9100000858306885,8.399999618530273,1,1.590000033378601,com.example.currency.Currency
6487426b92d6d355720e270e,AUD,0.6700000166893005,2.4000000953674316,0.47999998927116394,3074.60009765625,20.700000762939453,5.699999809265137,2.450000047683716,5.28000020980835,0.6299999952316284,1,com.example.currency.Currency
